MOUSE_GENE_SYM	HUMAN_GENE_SYM
P2rx5	P2RX5-TAX1BP3
Ccl20	CCL20
Pnpo	PNPO
Cggbp1	CGGBP1
Arid4b	ARID4B
Pdzk1	PDZK1
Mir29c	MIR29C
Olfr304	OR14A2
Ift122	IFT122
Siglecg	SIGLEC11
Trbv31	TRBV30
Ints4	INTS4
Ampd2	AMPD2
Sc5d	SC5D
Lpo	LPO
Folr2	FOLR2
Gbp2	GBP2
C2cd2l	C2CD2L
1500009L16Rik	C12orf75
6430571L13Rik	C3orf18
Fam171b	FAM171B
Slc25a35	SLC25A35
Ttc24	TTC24
Vat1	VAT1
Scn4b	SCN4B
Zfp362	ZNF362
Bard1	BARD1
Ubxn4	UBXN4
Siglece	SIGLEC9
Vax2	VAX2
Gm26457	SNORD51
Oscp1	OSCP1
Alg9	ALG9
Ramp1	RAMP1
Rab30	RAB30
Nudt17	NUDT17
Pmch	PMCH
Gm23661	RNU2-31P
Snora21	SNORA21
Foxr1	FOXR1
Itgb5	ITGB5
Aoc3	AOC3
Lrrc45	LRRC45
Utp11	UTP11
Gm11639	EFCAB13
1110065P20Rik	C1orf122
Gm26413	SCARNA4
Cisd3	CISD3
Cacng5	CACNG5
Chrnd	CHRND
Wdr77	WDR77
Hcar2	HCAR2
Psmb1	PSMB1
Ccdc74a	CCDC74B
Evi2	EVI2B
Mthfd1l	MTHFD1L
Ccr7	CCR7
Ddx18	DDX18
Atxn7	ATXN7
Kncn	KNCN
Ccnyl1	CCNYL1
Tmem132d	TMEM132D
BC048671	C3orf22
Gm24148	SNORD20
Pxmp2	PXMP2
Eef1akmt4	EEF1AKMT4
Uts2b	UTS2B
Tmem11	TMEM11
Gucy2e	GUCY2D
Slamf8	SLAMF8
Hephl1	HEPHL1
Nagk	NAGK
Unc119b	UNC119B
Cdrt4	CDRT4
Prpsap2	PRPSAP2
Tmem97	TMEM97
Lrriq4	LRRIQ4
Pate1	PATE1
Mapk9	MAPK9
Sdk2	SDK2
Lgr6	LGR6
Coa5	COA5
H4c14	H4C15
Srebf1	SREBF1
Klk14	KLK14
Nup62	NUP62
Agps	AGPS
Iba57	IBA57
Asb17	ASB17
Nom1	NOM1
Spred2	SPRED2
1700008O03Rik	C19orf81
Fcrla	FCRLA
Ms4a12	MS4A12
Actr3	ACTR3
Kcnk7	KCNK7
Chchd5	CHCHD5
Eid3	EID3
Wbp2	WBP2
Trim41	TRIM41
Plxnc1	PLXNC1
Tmem39b	TMEM39B
Maneal	MANEAL
Mir30c-1	MIR30C1
Socs7	SOCS7
Tpm3	TPM3
0610012G03Rik	NCBP2AS2
Guca2b	GUCA2B
Ngf	NGF
Rnf149	RNF149
Clcf1	CLCF1
Pdk2	PDK2
Atp1a2	ATP1A2
Kat5	KAT5
Rrnad1	RRNAD1
Cog2	COG2
Ddb1	DDB1
Fam171a2	FAM171A2
Cox11	COX11
Usp37	USP37
Slc3a2	SLC3A2
B3galnt2	B3GALNT2
Lcp2	LCP2
Cryba2	CRYBA2
Gpatch8	GPATCH8
Il10ra	IL10RA
Grm2	GRM2
Olfr1062	OR8J3
Ddah1	DDAH1
Triap1	TRIAP1
Nostrin	NOSTRIN
Gm24042	RNU6-812P
Ccl11	CCL11
Scn1a	SCN1A
Epb41l5	EPB41L5
Mtarc1	MTARC1
Ift81	IFT81
Lbr	LBR
Cfap52	CFAP52
Hsf5	HSF5
AU040320	KIAA0319L
Wscd2	WSCD2
Pcsk7	PCSK7
Hpcal4	HPCAL4
Stambp	STAMBP
Naa80	NAA80
Armc8	ARMC8
Tspan1	TSPAN1
Sox13	SOX13
Glmn	GLMN
Lipt2	LIPT2
Ctns	CTNS
Casp8	CASP8
Slc37a4	SLC37A4
Sfpq	SFPQ
Stard10	STARD10
Capg	CAPG
Thy1	THY1
Mff	MFF
Alg14	ALG14
Dcp1a	DCP1A
Gm25014	RNU6-1237P
Prdm4	PRDM4
Lbhd1	LBHD1
Fhl3	FHL3
Mir218-2	MIR218-2
Elf3	ELF3
Thbs3	THBS3
Gpr142	GPR142
Eea1	EEA1
Mmp27	MMP27
Rabep1	RABEP1
Klhl11	KLHL11
Scn3a	SCN3A
Slc30a1	SLC30A1
Lims1	LIMS1
Rcor3	RCOR3
Tmf1	TMF1
Arhgdia	ARHGDIA
Chmp3	CHMP3
Mbd4	MBD4
Muc20	MUC20
Tnni3k	FPGT-TNNI3K
Arhgap35	ARHGAP35
Fam71e2	FAM71E2
Mir340	MIR340
Tkt	TKT
Dlg4	DLG4
S100pbp	S100PBP
Atp6v0a1	ATP6V0A1
Rragc	RRAGC
Ube2l6	UBE2L6
Fzd7	FZD7
Dcps	DCPS
Tmem132b	TMEM132B
Inpp5d	INPP5D
Fgd6	FGD6
Sdhd	SDHD
Gm36210	C19orf85
Ptprq	PTPRQ
H2bc18	H2BC18
Mcrip1	MCRIP1
Peli1	PELI1
Mindy4b-ps	MINDY4B
Mef2d	MEF2D
Ltv1	LTV1
Fxyd2	FXYD2
Abi3bp	ABI3BP
Mrps7	MRPS7
Zfp697	ZNF697
Camk2n2	CAMK2N2
Aurkc	AURKC
Nbr1	NBR1
Zbtb8a	ZBTB8A
Spata33	SPATA33
Slc16a11	SLC16A11
Ptprf	PTPRF
Rnf168	RNF168
Mogat1	MOGAT1
Sebox	SEBOX
Olfr1396	OR2V2
Col4a3	COL4A3
Tssk3	TSSK3
Kctd14	KCTD14
Ccdc153	CCDC153
Glipr1	GLIPR1
Gp6	GP6
Gca	GCA
Ppp1r12a	PPP1R12A
Btf3l4	BTF3L4
Lum	LUM
Efcab7	EFCAB7
Rtn4rl1	RTN4RL1
Ankrd45	ANKRD45
Rab38	RAB38
Prr15l	PRR15L
Hnrnpul2	HNRNPUL2-BSCL2
Actr2	ACTR2
Coa4	COA4
Kcnt2	KCNT2
Xaf1	XAF1
Acmsd	ACMSD
Zmym1	ZMYM1
Gm24592	RNU6-544P
Pyy	PYY
Coa7	COA7
Usp10	USP10
Wdr81	WDR81
Rnf115	RNF115
Gm22944	SNORA38B
Mrm1	MRM1
Eed	EED
Slc41a3	SLC41A3
Atf3	ATF3
Gm35060	TEX51
Dio1	DIO1
Top3a	TOP3A
Dtx3l	DTX3L
Fam193b	FAM193B
Nyap2	NYAP2
Rabgap1l	RABGAP1L
Irf6	IRF6
Mcoln2	MCOLN2
Glt8d1	GLT8D1
Irf3	IRF3
Baz2b	BAZ2B
Mir103-1	MIR103A1
Col23a1	COL23A1
Tns4	TNS4
Mirlet7e	MIRLET7E
Fbf1	FBF1
Hrh2	HRH2
Hoxd1	HOXD1
Cxcr2	CXCR1
Snord88a	SNORD88A
Fmo2	FMO2
Iqgap3	IQGAP3
Atl3	ATL3
Il1a	IL1A
Cdc42ep2	CDC42EP2
Mmp13	MMP13
Tprkb	TPRKB
1700001P01Rik	C17orf98
Ms4a13	MS4A13
Rpl24	RPL24
C1qbp	C1QBP
Inpp4a	INPP4A
Tmem108	TMEM108
Nrxn2	NRXN2
Snorc	SNORC
Tmem132c	TMEM132C
Olfr1104	OR8I2
Lrrc34	LRRC34
Golt1a	GOLT1A
Gng8	GNG8
Ammecr1l	AMMECR1L
Chordc1	CHORDC1
2810006K23Rik	C12orf65
Efcab2	EFCAB2
Gm23712	RNU6-969P
Coa3	COA3
Mrpl11	MRPL11
Josd2	JOSD2
Lsg1	LSG1
Pfkfb2	PFKFB2
Hs6st1	HS6ST1
Olfr1502	OR9I1
Wnt2b	WNT2B
Hes1	HES1
Glul	GLUL
Utp20	UTP20
Sass6	SASS6
Atp1b1	ATP1B1
Txnip	TXNIP
Trip12	TRIP12
Prox1	PROX1
Coa6	COA6
Mtarc2	MTARC2
Snord38a	SNORD38A
Nup85	NUP85
Dpf2	DPF2
Sec22a	SEC22A
Rnft1	RNFT1
Dnajc19	DNAJC19
Olfr1438-ps1	OR5A2
Txnrd1	TXNRD1
Zfp691	ZNF691
P3h4	P3H4
Dner	DNER
Adam30	ADAM30
Fbrsl1	FBRSL1
Prss38	PRSS38
Zfp575	ZNF575
Ceacam19	CEACAM19
Cyb5d1	CYB5D1
Lrrc59	LRRC59
Cops9	COPS9
Rhbdl2	RHBDL2
Gpr160	GPR160
Spata16	SPATA16
Heatr6	HEATR6
Kctd21	KCTD21
4930558C23Rik	CTXND2
Tmcc3	TMCC3
Apobec4	APOBEC4
Acsf3	ACSF3
Apoa4	APOA4
Marchf10	MARCHF10
Pip	PIP
Dnajb6	DNAJB6
Dpp6	DPP6
Dnajc7	DNAJC7
Septin2	SEPTIN2
Krtcap2	KRTCAP2
Gm24608	SNORA58B
Mrpl44	MRPL44
Rflnb	RFLNB
Gm26099	RNU6-1297P
Gbe1	GBE1
Sncb	SNCB
Dbndd1	DBNDD1
Cnih3	CNIH3
Casq1	CASQ1
Prg3	PRG3
Crk	CRK
Gm26263	RNU1-17P
Cd300lb	CD300LB
Fmnl2	FMNL2
Pop5	POP5
Iqcf5	IQCF5
Evpl	EVPL
Gm24796	RNU6-629P
Mir1251	MIR1251
Lbx2	LBX2
Col11a1	COL11A1
Kpna1	KPNA1
Gemin7	GEMIN7
Cyp26b1	CYP26B1
Slc13a5	SLC13A5
Tesk2	TESK2
Cnot3	CNOT3
Mir330	MIR330
1700113H08Rik	C12orf42
Mtmr11	MTMR11
Cd200r2	CD200R1L
Mir139	MIR139
Hoxb5	HOXB5
Sds	SDS
Rbm34	RBM34
Zfp454	ZNF454
Trim29	TRIM29
Lrrc42	LRRC42
Sirt7	SIRT7
Atg16l2	ATG16L2
Ccdc89	CCDC89
Spindoc	SPINDOC
Slc22a6	SLC22A6
Zfp369	ZNF274
Flt3l	FLT3LG
Dhx36	DHX36
Cntnap1	CNTNAP1
Qrich2	QRICH2
Fn3krp	FN3KRP
Iqca1l	IQCA1L
Grik3	GRIK3
Rgs1	RGS1
Pik3cb	PIK3CB
Rnf11	RNF11
Ampd1	AMPD1
Gabrr3	GABRR3
Lrrc51	LRTOMT
Tuba3a	TUBA3D
Ncl	NCL
Cntrob	CNTROB
Rnu6-ps2	RNU6-1279P
Cacybp	CACYBP
Pfas	PFAS
Slc1a4	SLC1A4
Mir194-1	MIR194-1
B3gat3	B3GAT3
Abca8b	ABCA8
Ctu1	CTU1
Trim43c	TRIM43B
Pcbp1	PCBP1
Raph1	RAPH1
Unc50	UNC50
Sft2d3	SFT2D3
Tnfsf18	TNFSF18
Abhd15	ABHD15
Taf6l	TAF6L
4930453N24Rik	C3orf38
Sirt4	SIRT4
Slc5a10	SLC5A10
Ipo13	IPO13
Khdrbs1	KHDRBS1
Hspa8	HSPA8
Fbxo41	FBXO41
Ccn1	CCN1
Tmem123	TMEM123
Rptor	RPTOR
Prlh	PRLH
Def8	DEF8
Ptgs2	PTGS2
Gpatch2	GPATCH2
Ceacam16	CEACAM16
Unc93b1	UNC93B1
Snord14d	SNORD14D
Cwc25	CWC25
Ppp6r3	PPP6R3
Ift57	IFT57
Taok3	TAOK3
Btbd18	BTBD18
Mr1	MR1
Hormad1	HORMAD1
Ptprg	PTPRG
Med13	MED13
Wnt9b	WNT9B
Hyi	HYI
Endod1	ENDOD1
Sec1	FUT2
Ptov1	PTOV1
Adora3	ADORA3
Olfr1033	OR5M3
Col6a6	COL6A6
Zfp324	ZNF324B
Dnaic2	DNAI2
Dcun1d1	DCUN1D1
Caskin2	CASKIN2
Gabrg2	GABRG2
Evi2a	EVI2A
Lmtk3	LMTK3
Gpr45	GPR45
1810020O05Rik	CFAP92
Mis12	MIS12
Wls	WLS
Lamtor2	LAMTOR2
Rdx	RDX
Arl1	ARL1
Cap1	CAP1
Exoc8	EXOC8
Aadacl2	AADACL2
Gkn2	GKN2
Ms4a2	MS4A2
Pemt	PEMT
Myo1b	MYO1B
Tatdn3	TATDN3
Arl6ip4	ARL6IP4
Nek2	NEK2
H2aw	H2AW
Tmem106a	TMEM106A
Ppp1r15a	PPP1R15A
Tnfaip1	TNFAIP1
Rit1	RIT1
Bptf	BPTF
Tnks1bp1	TNKS1BP1
Erbb2	ERBB2
Fam222a	FAM222A
Cbl	CBL
Grm6	GRM6
Slc35f5	SLC35F5
Slc38a3	SLC38A3
Calm3	CALM3
Orc1	ORC1
Exoc3l2	EXOC3L2
Bola3	BOLA3
Tigit	TIGIT
Fbln7	FBLN7
Kti12	KTI12
Gm34066	C2orf66
Mir744	MIR744
3110009E18Rik	C2orf76
Irgc1	IRGC
Slc16a6	SLC16A6
H4f16	H4C14
Tal1	TAL1
5730455P16Rik	C17orf75
Ppox	PPOX
Pkp4	PKP4
Tbx2	TBX2
Dock2	DOCK2
Rundc1	RUNDC1
Mgat5	MGAT5
Dstyk	DSTYK
2900092C05Rik	C19orf18
Atp6v0e	ATP6V0E1
Scimp	SCIMP
Sema3b	SEMA3B
Gosr2	GOSR2
Ccdc61	CCDC61
Nudt16l2	NUDT16
Sestd1	SESTD1
Eif5a2	EIF5A2
Pgr	PGR
Igkv20-101-2	IGKV1OR2-108
Ms4a15	MS4A15
Spag16	SPAG16
Maats1	CFAP91
Mybph	MYBPH
Efcab12	EFCAB12
Asb14	ASB14
Znrd2	ZNRD2
Syt6	SYT6
Tnfaip8l2	TNFAIP8L2
Gabarap	GABARAP
Chrnb2	CHRNB2
Foxn1	FOXN1
Ddias	DDIAS
Pjvk	PJVK
Lpxn	LPXN
Rsf1	RSF1
Kcnj9	KCNJ9
Slc15a2	SLC15A2
Meioc	MEIOC
Dennd1b	DENND1B
C77080	KIAA1522
Rab6b	RAB6B
AI597479	C2orf49
Efcab14	EFCAB14
Lgals8	LGALS8
Dyrk3	DYRK3
Myl1	MYL1
Pygm	PYGM
Fam20a	FAM20A
Psmd12	PSMD12
Acad10	ACAD10
Nectin1	NECTIN1
Chtop	CHTOP
Tpcn1	TPCN1
Tchh	TCHH
Zc2hc1b	ZC2HC1B
Nav3	NAV3
Rab11fip4	RAB11FIP4
Noc4l	NOC4L
Phf12	PHF12
Tctex1d2	TCTEX1D2
Senp3	SENP3
Ssbp3	SSBP3
Neurl4	NEURL4
Rtn4rl2	RTN4RL2
Tmem138	TMEM138
Iqcf1	IQCF1
Ttll2	TTLL2
Ing5	ING5
Prg2	PRG2
Polr2a	POLR2A
Adamts15	ADAMTS15
Itga4	ITGA4
Sntn	SNTN
Ganab	GANAB
Ankar	ANKAR
Nck1	NCK1
Plscr5	PLSCR5
Btbd17	BTBD17
Gk5	GK5
Zfp94	ZNF45
Gm765	MDFIC2
Ndufa12	NDUFA12
Rnf157	RNF157
Cdk18	CDK18
Phykpl	PHYKPL
Usp43	USP43
Ky	KY
Pxk	PXK
Hoxb6	HOXB6
Hsd17b1	HSD17B1
Pecr	PECR
Cacna2d3	CACNA2D3
Tmem54	TMEM54
Gjc1	GJC1
Nppc	NPPC
Rab1b	RAB1B
Tyw5	TYW5
Tm2d1	TM2D1
Myo15b	MYO15B
Eif2d	EIF2D
Slc16a4	SLC16A4
Olfr172	OR5K1
Ube2s	UBE2S
Nuak1	NUAK1
Pycr2	PYCR2
Hyou1	HYOU1
Pfn3	PFN3
Eif4g1	EIF4G1
Tmem237	TMEM237
Dnm3	DNM3
Cd53	CD53
Scaf8	SCAF8
I830077J02Rik	C1orf162
Dhrs7b	DHRS7B
Stxbp5	STXBP5
Lrrc55	LRRC55
B3gntl1	B3GNTL1
Zyg11a	ZYG11A
Rad54l2	RAD54L2
Tor1aip2	TOR1AIP2
Rpl5	RPL5
Hipk1	HIPK1
Tpcn2	TPCN2
Dus1l	DUS1L
Txlnb	TXLNB
Mir10a	MIR10A
Pgs1	PGS1
Epha10	EPHA10
Gpr39	GPR39
Car14	CA14
Plscr4	PLSCR4
Ube2f	UBE2F
Inca1	INCA1
Drd1	DRD1
2310009B15Rik	C1orf53
Ptprr	PTPRR
Zbtb4	ZBTB4
Nkapd1	NKAPD1
Acp6	ACP6
Bco2	BCO2
Olfr43	OR1A2
Hes6	HES6
Calcoco2	CALCOCO2
Ddx10	DDX10
Alg6	ALG6
Psmb4	PSMB4
Dact3	DACT3
Isg20l2	ISG20L2
Lpgat1	LPGAT1
Cd8b1	CD8B
Rab5c	RAB5C
Hip1r	HIP1R
Nxph2	NXPH2
Gm22980	SNORD38B
Nup37	NUP37
Kif26b	KIF26B
Olfr410	OR3A1
Bdh1	BDH1
Cept1	CEPT1
Gpr87	GPR87
Mmachc	MMACHC
Nhp2	NHP2
Lmna	LMNA
Arcn1	ARCN1
Kdm3a	KDM3A
Cnksr3	CNKSR3
Gm22779	RNU6-509P
Acaca	ACACA
Nop58	NOP58
Pnmt	PNMT
Tubb3	TUBB3
Trim37	TRIM37
Tex50	TEX50
Peli3	PELI3
Gm24833	RNU6ATAC19P
Scaf1	SCAF1
Ddx41	DDX41
Npepps	NPEPPS
Ttc13	TTC13
Atp5pb	ATP5PB
Fdxacb1	FDXACB1
Cdc42ep4	CDC42EP4
Chrng	CHRNG
Cradd	CRADD
Tcf7l1	TCF7L1
Pafah1b2	PAFAH1B2
Dcn	DCN
Relt	RELT
Inava	INAVA
Gkn1	GKN1
Ano4	ANO4
Nfe2l2	NFE2L2
Dlg2	DLG2
Sertad4	SERTAD4
Yap1	YAP1
Mvd	MVD
Arf1	ARF1
Nptx1	NPTX1
Atp13a3	ATP13A3
Pabpc4	PABPC4
Fbxo30	FBXO30
Eif1	EIF1
Rybp	RYBP
Agfg1	AGFG1
Sptbn2	SPTBN2
Cbx1	CBX1
Prr12	PRR12
Gtf3c3	GTF3C3
Lamc1	LAMC1
Arl10	ARL10
Noto	NOTO
Fgf12	FGF12
Gm23041	RNU6-880P
Wnt6	WNT6
Mab21l4	MAB21L4
Cfap73	CFAP73
Tnr	TNR
Jrkl	JRKL
Tmem125	TMEM125
Tlk1	TLK1
Bbx	BBX
Foxred1	FOXRED1
Prelid1	PRELID1
1700042G07Rik	P3R3URF
Trp53bp2	TP53BP2
Abcb10	ABCB10
Robo4	ROBO4
Tenm2	TENM2
Mertk	MERTK
Elac2	ELAC2
Pigr	PIGR
Kcnn3	KCNN3
Mcam	MCAM
Cluh	CLUH
Speg	SPEG
Spata2l	SPATA2L
Klk5	KLK5
Shcbp1l	SHCBP1L
Ago3	AGO3
Gpn3	GPN3
Cpne7	CPNE7
Cryz	CRYZ
Mmp28	MMP28
Olig3	OLIG3
Cmss1	CMSS1
Rnf43	RNF43
Pycr1	PYCR1
Rbms1	RBMS1
Rasgrp2	RASGRP2
Oit1	FAM3D
Ncbp3	NCBP3
Nedd1	NEDD1
Slc11a1	SLC11A1
Slc25a26	SLC25A26
Tulp2	TULP2
Gm24410	RNU6-546P
Nudcd2	NUDCD2
Sdhc	SDHC
Trf	TF
Pomgnt1	POMGNT1
Fahd2a	FAHD2A
Ncor2	NCOR2
Arhgap23	ARHGAP23
A130010J15Rik	C1orf74
Sike1	SIKE1
Slfn2	SLFN12
Ube2q1	UBE2Q1
Pex12	PEX12
Rcor2	RCOR2
Ppp1r1b	PPP1R1B
Abcf3	ABCF3
Scn4a	SCN4A
Mrpl19	MRPL19
Selenof	SELENOF
Grin2d	GRIN2D
Slc29a2	SLC29A2
Slc16a14	SLC16A14
Gmnc	GMNC
Prr11	PRR11
Riox2	RIOX2
Simc1	SIMC1
Syt12	SYT12
Slc1a5	SLC1A5
Tpbgl	TPBGL
Gfm1	GFM1
Gipc2	GIPC2
Gpc1	GPC1
Slc22a3	SLC22A3
Snord45b	SNORD45B
Asrgl1	ASRGL1
Drc3	DRC3
Armt1	ARMT1
Spsb4	SPSB4
Tsnax	TSNAX
Gbx2	GBX2
Aspdh	ASPDH
Parl	PARL
Vsig8	VSIG8
Rrp15	RRP15
Mmadhc	MMADHC
Bola1	BOLA1
Cdc7	CDC7
Hhipl2	HHIPL2
Lig3	LIG3
Enah	ENAH
Fli1	FLI1
Myo7b	MYO7B
Akap12	AKAP12
Tfrc	TFRC
Tomm70a	TOMM70
1700019D03Rik	C2orf88
Immt	IMMT
Strada	STRADA
Vasp	VASP
Mir150	MIR150
Pou3f1	POU3F1
Ckap4	CKAP4
Abcc3	ABCC3
Ntf5	NTF4
Kcnd3	KCND3
Sfmbt1	SFMBT1
Clcc1	CLCC1
Mettl23	METTL23
Tie1	TIE1
Tnnc1	TNNC1
Mir30e	MIR30E
Nlrp2	NLRP2
Cfl1	CFL1
Nab1	NAB1
Gm25637	RNU6-717P
Aqp12	AQP12B
Il31	IL31
Men1	MEN1
Trim25	TRIM25
Fads1	FADS1
Ttll7	TTLL7
Cldn20	CLDN20
Zcchc8	ZCCHC8
A3galt2	A3GALT2
4930522H14Rik	C1orf185
Ltc4s	LTC4S
Ints3	INTS3
Ptcd3	PTCD3
Perp	PERP
Atp1a1	ATP1A1
Ssb	SSB
Ndufs1	NDUFS1
Nme1	NME1
Ppp1r9b	PPP1R9B
Gm23097	RNU6-312P
Gnat2	GNAT2
Slc35b1	SLC35B1
Ccdc190	CCDC190
Antxr1	ANTXR1
Gm23448	RNU6-622P
Eif5b	EIF5B
Olfr875	OR8B12
Trpv6	TRPV6
Samd14	SAMD14
Sart3	SART3
Bloc1s3	BLOC1S3
Psmb3	PSMB3
Scnm1	SCNM1
Arpc5	ARPC5
Mir22	MIR22
Dmrta2	DMRTA2
Ptx3	PTX3
Sidt2	SIDT2
Snord33	SNORD33
Trbv23	TRBV23-1
Rilp	RILP
Pus1	PUS1
Pitpna	PITPNA
Tmem79	TMEM79
Uroc1	UROC1
Tut1	TUT1
Hcrtr1	HCRTR1
H3f3a	H3-3A
Tmem107	TMEM107
Copa	COPA
Sae1	SAE1
Fam163a	FAM163A
Rsph6a	RSPH6A
Slc33a1	SLC33A1
Cyb5r1	CYB5R1
Ddx59	DDX59
Kdelr1	KDELR1
Gm23940	RNU6-230P
Wdr54	WDR54
Mtf2	MTF2
Tnfsf13	TNFSF13
Mgat4c	MGAT4C
Slamf9	SLAMF9
Amz2	AMZ2
Fam107a	FAM107A
Cfap126	CFAP126
Rnasek	RNASEK
Grin2c	GRIN2C
Tex264	TEX264
Spata19	SPATA19
Gypc	GYPC
Pex5l	PEX5L
Kcnmb4	KCNMB4
Sod2	SOD2
Efna1	EFNA1
Sele	SELE
Pdcd2	PDCD2
Thbs2	THBS2
Adamts9	ADAMTS9
Adora1	ADORA1
Usp35	USP35
Mir152	MIR152
Barx2	BARX2
Aadac	AADAC
Ccdc30	CCDC30
Dact2	DACT2
Ruvbl2	RUVBL2
Cacng6	CACNG6
Fndc7	FNDC7
Ccdc93	CCDC93
Ska2	SKA2
Ttl	TTL
Anapc13	ANAPC13
Olfr31	OR2T1
Eif2b1	EIF2B1
Foxf1	FOXF1
Jhy	JHY
Mfn1	MFN1
Brip1	BRIP1
Prr9	PRR9
Ptgfr	PTGFR
Atp2b1	ATP2B1
Plxna1	PLXNA1
Wdr33	WDR33
Tmem126b	TMEM126B
Olfr1177-ps	OR5D3P
Emx1	EMX1
Llgl2	LLGL2
Rnf112	RNF112
Vamp4	VAMP4
Slc26a11	SLC26A11
Crabp2	CRABP2
Kcnj2	KCNJ2
Psmd3	PSMD3
Zpld1	ZPLD1
Nceh1	NCEH1
Dnah2	DNAH2
Stk40	STK40
Rxrg	RXRG
Ccdc9	CCDC9
Uqcc3	UQCC3
Nphp1	NPHP1
Brinp3	BRINP3
Arhgap32	ARHGAP32
Mdh1	MDH1
Bicdl1	BICDL1
Slmap	SLMAP
Abi3	ABI3
Klk11	KLK11
Mmp7	MMP7
Mdm4	MDM4
Slc19a3	SLC19A3
Camkk2	CAMKK2
Olfr1420	OR10V1
Rpl18	RPL18
Cd247	CD247
Tctn1	TCTN1
Slc17a8	SLC17A8
Clk4	CLK4
Pdgfd	PDGFD
Slc22a15	SLC22A15
Podn	PODN
Rsbn1	RSBN1
Kansl3	KANSL3
Ncapd3	NCAPD3
Cwf19l2	CWF19L2
Cdc42bpa	CDC42BPA
Nkx2-5	NKX2-5
St3gal5	ST3GAL5
Gmps	GMPS
Tob1	TOB1
Pcp4l1	PCP4L1
Ccdc8	CCDC8
Zfp354c	ZNF354C
Zswim2	ZSWIM2
Faf1	FAF1
Aip	AIP
Btg1	BTG1
Clptm1	CLPTM1
Ttll6	TTLL6
Fam131b	FAM131B
Gdpd4	GDPD4
Hoxd8	HOXD8
Olfr1191-ps1	OR4S2
Nr1i2	NR1I2
Usp33	USP33
Lexm	LEXM
Dbp	DBP
Shox2	SHOX2
E130311K13Rik	C3orf33
Bclaf1	BCLAF1
Pcyox1	PCYOX1
Sema4f	SEMA4F
Camsap2	CAMSAP2
Lenep	LENEP
Bcas2	BCAS2
Dedd	DEDD
Vps25	VPS25
Serpinh1	SERPINH1
Rev1	REV1
Chst11	CHST11
Dclre1b	DCLRE1B
Uchl5	UCHL5
Gatad2b	GATAD2B
Mir9-1	MIR9-1
Tac4	TAC4
Epc2	EPC2
Grem2	GREM2
Gm24494	SNORD45A
Rnf121	RNF121
Gpha2	GPHA2
Kif2c	KIF2C
Tmub1	TMUB1
Mgll	MGLL
Trbv14	TRBV11-1
Katna1	KATNA1
Ypel2	YPEL2
Paqr9	PAQR9
Slc27a3	SLC27A3
Gm24565	RNU6-25P
Scyl2	SCYL2
Tsc22d2	TSC22D2
Krtap3-2	KRTAP3-3
Recql5	RECQL5
Dis3l2	DIS3L2
Nkiras2	NKIRAS2
P2ry14	P2RY14
Bap1	BAP1
Tubd1	TUBD1
Slc22a2	SLC22A2
Morc1	MORC1
Bin1	BIN1
Gp9	GP9
Adcy10	ADCY10
Uhrf1bp1l	UHRF1BP1L
Fam187a	FAM187A
Hacd2	HACD2
Igfbp5	IGFBP5
Pex19	PEX19
Slc34a1	SLC34A1
6430628N08Rik	TMEM275
Ppm1n	PPM1N
Clk1	CLK1
Mtx2	MTX2
2610528J11Rik	C1orf210
Abhd14b	ABHD14B
Cps1	CPS1
Sema4c	SEMA4C
B3galt1	B3GALT1
Ccdc86	CCDC86
Cldn19	CLDN19
Als2	ALS2
Hinfp	HINFP
Kmt5b	KMT5B
Mks1	MKS1
Trpv2	TRPV2
Tbcd	TBCD
Cldn1	CLDN1
Gps2	GPS2
Rtp2	RTP2
Tmem177	TMEM177
Il12rb2	IL12RB2
Mpp3	MPP3
Olfr186	OR5H2
Utp18	UTP18
Mcee	MCEE
Zfp865	ZNF865
Samd5	SAMD5
Tomm40l	TOMM40L
Zfp112	ZNF112
BC016579	C3orf52
Neu3	NEU3
Mgam2-ps	MGAM2
Hexdc	HEXD
Hltf	HLTF
Ppp2r5b	PPP2R5B
Klc2	KLC2
P2ry12	P2RY12
Trmt13	TRMT13
Pak2	PAK2
Gdpd5	GDPD5
Eif2b5	EIF2B5
Tnik	TNIK
Hoxb13	HOXB13
Rft1	RFT1
Bcl2l15	BCL2L15
Atp2a3	ATP2A3
Krt16	KRT16
Apoc1	APOC1
Slc19a2	SLC19A2
Mir128-1	MIR128-1
Hsd11b1	HSD11B1
Slamf1	SLAMF1
Ace	ACE
Cd80	CD80
Miga1	MIGA1
Mfsd1	MFSD1
Negr1	NEGR1
Ralb	RALB
Snx19	SNX19
Smim4	SMIM4
Eml2	EML2
Dnajc4	DNAJC4
Klhl41	KLHL41
Dll1	DLL1
Ccdc50	CCDC50
Tsga10ip	TSGA10IP
Dok3	DOK3
Tanc2	TANC2
Scarna2	SCARNA2
Fap	FAP
Ranbp17	RANBP17
Olfr1448	OR5B12
Trafd1	TRAFD1
Topbp1	TOPBP1
Mink1	MINK1
Sycp1	SYCP1
Lypd8	LYPD8
Acbd6	ACBD6
D10Wsu102e	C12orf45
Heca	HECA
Casp12	CASP12
Ildr1	ILDR1
Epha3	EPHA3
Crtam	CRTAM
Gjd3	GJD3
Wdr12	WDR12
Mrpl12	MRPL12
Ascl5	ASCL5
Mbnl1	MBNL1
Apcs	APCS
Nt5c3b	NT5C3B
Arpc3	ARPC3
